symbol,isin,trade_date,exchange,segment,series,trade_type,quantity,price,trade_id,order_id,order_execution_time
WIPRO,INE075A01022,2021-04-09,NSE,EQ,EQ,sell,8.000000,446.300000,78973499,1300000014278313,2021-04-09T13:53:37
WIPRO,INE075A01022,2021-04-09,NSE,EQ,EQ,sell,1.000000,446.300000,78973787,1300000014278313,2021-04-09T13:53:39
IRFC,INE053F01010,2021-04-09,BSE,EQ,B,buy,150.000000,22.000000,9205500,1617939000040787423,2021-04-09T13:54:44
SBIN,INE062A01020,2021-04-12,NSE,EQ,EQ,buy,300.000000,333.000000,75772878,1300000002006442,2021-04-12T09:29:24
SBIN,INE062A01020,2021-04-12,NSE,EQ,EQ,sell,300.000000,334.000000,76731606,1300000004775646,2021-04-12T09:58:54
SBIN,INE062A01020,2021-04-12,NSE,EQ,EQ,buy,60.000000,326.000000,81713466,1300000023259312,2021-04-12T14:58:24
SBIN,INE062A01020,2021-04-13,NSE,EQ,EQ,sell,60.000000,333.500000,76047219,1300000003482178,2021-04-13T09:48:43
POLYPLEX,INE633B01018,2021-04-13,NSE,EQ,EQ,buy,8.000000,789.000000,52107392,1200000003649347,2021-04-13T12:01:15
POLYPLEX,INE633B01018,2021-04-13,NSE,EQ,EQ,buy,1.000000,789.000000,52887111,1200000003649347,2021-04-13T13:30:25
INFY,INE009A01021,2021-04-15,BSE,EQ,A,buy,10.000000,1339.500000,12553500,1618457400029744962,2021-04-15T12:04:57
POLYPLEX,INE633B01018,2021-04-15,BSE,EQ,A,sell,9.000000,838.000000,37796400,1618463603925429515,2021-04-15T14:00:24
KALYANKJIL,INE303R01014,2021-04-15,NSE,EQ,EQ,buy,95.000000,68.800000,53201807,1200000015242023,2021-04-15T14:16:31
HSIL,INE415A01038,2021-05-10,NSE,EQ,EQ,buy,100.000000,176.250000,25716684,1100000002100078,2021-05-10T09:33:39
BALMLAWRIE,INE164A01016,2021-05-12,NSE,EQ,EQ,buy,100.000000,145.500000,2775346,1000000009426889,2021-05-12T11:10:23
HFCL,INE548A01028,2021-05-12,NSE,EQ,EQ,buy,150.000000,36.750000,29634035,1100000007901230,2021-05-12T13:49:21
JISLJALEQS,INE175A01038,2021-05-19,NSE,EQ,EQ,buy,450.000000,21.900000,53842219,1200000013829130,2021-05-19T14:18:59
GAYAPROJ,INE336H01023,2021-05-20,BSE,EQ,B,buy,6.000000,32.950000,32069000,1621492512647095881,2021-05-20T14:55:08
GAYAPROJ,INE336H01023,2021-05-20,BSE,EQ,B,buy,944.000000,32.950000,32098200,1621492512647095881,2021-05-20T14:55:28
GAEL,INE036B01030,2021-05-24,NSE,EQ,EQ,buy,90.000000,176.000000,30046193,1100000009215571,2021-05-24T14:49:55
HFCL,INE548A01028,2021-05-24,NSE,EQ,EQ,buy,100.000000,44.500000,30621555,1100000003573789,2021-05-24T15:17:13
JISLJALEQS,INE175A01038,2021-05-28,NSE,EQ,EQ,sell,45.000000,23.050000,52712952,1200000005006986,2021-05-28T12:16:55
JISLJALEQS,INE175A01038,2021-05-28,NSE,EQ,EQ,sell,397.000000,23.050000,52712962,1200000005006986,2021-05-28T12:16:55
JISLJALEQS,INE175A01038,2021-05-28,NSE,EQ,EQ,sell,8.000000,23.050000,52713715,1200000005006986,2021-05-28T12:17:00
LIKHITHA,INE060901019,2021-05-31,NSE,EQ,EQ,buy,25.000000,407.000000,53813421,1200000013365149,2021-05-31T13:38:49
SBIN,INE062A01020,2021-06-01,NSE,EQ,EQ,sell,25.000000,431.250000,76234122,1300000003968845,2021-06-01T09:50:29
SBIN,INE062A01020,2021-06-01,NSE,EQ,EQ,buy,25.000000,432.950000,80975620,1300000019557654,2021-06-01T15:21:30
GUFICBIO,INE742B01025,2021-06-04,BSE,EQ,B,sell,20.000000,192.000000,6010400,1622777400035395167,2021-06-04T12:16:24
